CountryID,region_id,country_name,Income_id
GNB,SSF,Guinea-Bissau,LIC
BHS,LCN,"Bahamas, The",HIC
NAM,SSF,Namibia,UMC
GAB,SSF,Gabon,UMC
ISL,ECS,Iceland,HIC
SWZ,SSF,Eswatini,LMC
BRN,EAS,Brunei Darussalam,HIC
MDV,SAS,Maldives,UMC
BWA,SSF,Botswana,UMC
GNQ,SSF,Equatorial Guinea,UMC
GMB,SSF,"Gambia, The",LIC
FJI,EAS,Fiji,UMC
SLB,EAS,Solomon Islands,LMC
GUY,LCN,Guyana,UMC
CHI,ECS,Channel Islands,HIC
BRB,LCN,Barbados,HIC
PYF,EAS,French Polynesia,HIC
VIR,LCN,Virgin Islands (U.S.),HIC
GUM,EAS,Guam,HIC
CPV,SSF,Cabo Verde,LMC
DJI,MEA,Djibouti,LMC
BTN,SAS,Bhutan,LMC
NCL,EAS,New Caledonia,HIC
BLZ,LCN,Belize,UMC
COM,SSF,Comoros,LIC
ABW,LCN,Aruba,HIC
BMU,NAC,Bermuda,HIC
SUR,LCN,Suriname,UMC
LCA,LCN,St. Lucia,UMC
LSO,SSF,Lesotho,LMC
VUT,EAS,Vanuatu,LMC
TLS,EAS,Timor-Leste,LMC
FRO,ECS,Faeroe Islands,HIC
CYM,LCN,Cayman Islands,HIC
IMN,ECS,Isle of Man,HIC
GRL,ECS,Greenland,HIC
SYC,SSF,Seychelles,HIC
MCO,ECS,Monaco,HIC
AND,ECS,Andorra,HIC
KIR,EAS,Kiribati,LMC
KNA,LCN,St. Kitts and Nevis,HIC
MNP,EAS,Northern Mariana Islands,HIC
LIE,ECS,Liechtenstein,HIC
VCT,LCN,St. Vincent and the Grenadines,UMC
ATG,LCN,Antigua and Barbuda,HIC
GRD,LCN,Grenada,UMC
WSM,EAS,Samoa,UMC
FSM,EAS,"Micronesia, Fed. Sts.",LMC
STP,SSF,São Tomé and Príncipe,LMC
CUW,LCN,Curacao,HIC
VGB,LCN,British Virgin Islands,HIC
ASM,EAS,American Samoa,UMC
TON,EAS,Tonga,UMC
SMR,ECS,San Marino,HIC
GIB,ECS,Gibraltar,HIC
MAF,LCN,St. Martin (French part),HIC
DMA,LCN,Dominica,UMC
PLW,EAS,Palau,HIC
MHL,EAS,Marshall Islands,UMC
NRU,EAS,Nauru,UMC
TUV,EAS,Tuvalu,UMC
SXM,LCN,Sint Maarten (Dutch part),HIC
TCA,LCN,Turks and Caicos Islands,HIC
